motif	category	term	side	ortholog	path	pathway
K01159_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K01159	upstream	ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10]	ko03440	NA
K01191_upstream.fna.motif.h1_4	High power (low covariation)	K01191	upstream	MAN2C1; alpha-mannosidase [EC:3.2.1.24]	map00511	Other glycan degradation
K01191_upstream.fna.motif.h1_4	High power (low covariation)	K01191	upstream	MAN2C1; alpha-mannosidase [EC:3.2.1.24]	ko00511	NA
K01251_upstream.fna.motif.h1_4	Conserved sequence (low covariation and power)	K01251	upstream	AHCY, ahcY; adenosylhomocysteinase [EC:3.13.2.1]	map00270	Cysteine and methionine metabolism
K01251_upstream.fna.motif.h1_4	Conserved sequence (low covariation and power)	K01251	upstream	AHCY, ahcY; adenosylhomocysteinase [EC:3.13.2.1]	ko00270	NA
K01251_upstream.fna.motif.h1_4	Conserved sequence (low covariation and power)	K01251	upstream	AHCY, ahcY; adenosylhomocysteinase [EC:3.13.2.1]	map01100	Metabolic pathways
K01251_upstream.fna.motif.h1_4	Conserved sequence (low covariation and power)	K01251	upstream	AHCY, ahcY; adenosylhomocysteinase [EC:3.13.2.1]	ko01100	NA
K01265_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K01265	upstream	map; methionyl aminopeptidase [EC:3.4.11.18]	NA	NA
K01347_upstream.fna.motif.h2_4	High power (low covariation)	K01347	upstream	iga; IgA-specific serine endopeptidase [EC:3.4.21.72]	NA	NA
K01356_upstream.fna.motif.h1_5	High power (low covariation)	K01356	upstream	lexA; repressor LexA [EC:3.4.21.88]	NA	NA
K01424_upstream.fna.motif.h1_1	High power (low covariation)	K01424	upstream	E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]	map00250	Alanine, aspartate and glutamate metabolism
K01424_upstream.fna.motif.h1_1	High power (low covariation)	K01424	upstream	E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]	ko00250	NA
K01424_upstream.fna.motif.h1_1	High power (low covariation)	K01424	upstream	E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]	map00460	Cyanoamino acid metabolism
K01424_upstream.fna.motif.h1_1	High power (low covariation)	K01424	upstream	E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]	ko00460	NA
K01424_upstream.fna.motif.h1_1	High power (low covariation)	K01424	upstream	E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]	map01100	Metabolic pathways
K01424_upstream.fna.motif.h1_1	High power (low covariation)	K01424	upstream	E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]	ko01100	NA
K01424_upstream.fna.motif.h1_1	High power (low covariation)	K01424	upstream	E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]	map01110	Biosynthesis of secondary metabolites
K01424_upstream.fna.motif.h1_1	High power (low covariation)	K01424	upstream	E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]	ko01110	NA
K01437_upstream.fna.motif.h1_4.h2_1.h1_2	High power (low covariation)	K01437	upstream	ASPA, aspA; aspartoacylase [EC:3.5.1.15]	map00250	Alanine, aspartate and glutamate metabolism
K01437_upstream.fna.motif.h1_4.h2_1.h1_2	High power (low covariation)	K01437	upstream	ASPA, aspA; aspartoacylase [EC:3.5.1.15]	ko00250	NA
K01437_upstream.fna.motif.h1_4.h2_1.h1_2	High power (low covariation)	K01437	upstream	ASPA, aspA; aspartoacylase [EC:3.5.1.15]	map00340	Histidine metabolism
K01437_upstream.fna.motif.h1_4.h2_1.h1_2	High power (low covariation)	K01437	upstream	ASPA, aspA; aspartoacylase [EC:3.5.1.15]	ko00340	NA
K01437_upstream.fna.motif.h1_4.h2_1.h1_2	High power (low covariation)	K01437	upstream	ASPA, aspA; aspartoacylase [EC:3.5.1.15]	map01100	Metabolic pathways
K01437_upstream.fna.motif.h1_4.h2_1.h1_2	High power (low covariation)	K01437	upstream	ASPA, aspA; aspartoacylase [EC:3.5.1.15]	ko01100	NA
K01465_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K01465	upstream	URA4, pyrC; dihydroorotase [EC:3.5.2.3]	map00240	Pyrimidine metabolism
K01465_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K01465	upstream	URA4, pyrC; dihydroorotase [EC:3.5.2.3]	ko00240	NA
K01465_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K01465	upstream	URA4, pyrC; dihydroorotase [EC:3.5.2.3]	map01100	Metabolic pathways
K01465_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K01465	upstream	URA4, pyrC; dihydroorotase [EC:3.5.2.3]	ko01100	NA
K01465_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K01465	upstream	URA4, pyrC; dihydroorotase [EC:3.5.2.3]	map01240	Biosynthesis of cofactors
K01465_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K01465	upstream	URA4, pyrC; dihydroorotase [EC:3.5.2.3]	ko01240	NA
K01524_upstream.fna.motif.h1_2	High power (low covariation)	K01524	upstream	ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]	map00230	Purine metabolism
K01524_upstream.fna.motif.h1_2	High power (low covariation)	K01524	upstream	ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]	ko00230	NA
K01524_upstream.fna.motif.h1_2	High power (low covariation)	K01524	upstream	ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]	map01100	Metabolic pathways
K01524_upstream.fna.motif.h1_2	High power (low covariation)	K01524	upstream	ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]	ko01100	NA
K01537_upstream.fna.motif.h2_3	High covariation	K01537	upstream	ATP2C; P-type Ca2+ transporter type 2C [EC:7.2.2.10]	NA	NA
K01579_upstream.fna.motif.h1_3	High power (low covariation)	K01579	upstream	panD; aspartate 1-decarboxylase [EC:4.1.1.11]	map00410	beta-Alanine metabolism
K01579_upstream.fna.motif.h1_3	High power (low covariation)	K01579	upstream	panD; aspartate 1-decarboxylase [EC:4.1.1.11]	ko00410	NA
K01579_upstream.fna.motif.h1_3	High power (low covariation)	K01579	upstream	panD; aspartate 1-decarboxylase [EC:4.1.1.11]	map00770	Pantothenate and CoA biosynthesis
K01579_upstream.fna.motif.h1_3	High power (low covariation)	K01579	upstream	panD; aspartate 1-decarboxylase [EC:4.1.1.11]	ko00770	NA
K01579_upstream.fna.motif.h1_3	High power (low covariation)	K01579	upstream	panD; aspartate 1-decarboxylase [EC:4.1.1.11]	map01100	Metabolic pathways
K01579_upstream.fna.motif.h1_3	High power (low covariation)	K01579	upstream	panD; aspartate 1-decarboxylase [EC:4.1.1.11]	ko01100	NA
K01579_upstream.fna.motif.h1_3	High power (low covariation)	K01579	upstream	panD; aspartate 1-decarboxylase [EC:4.1.1.11]	map01110	Biosynthesis of secondary metabolites
K01579_upstream.fna.motif.h1_3	High power (low covariation)	K01579	upstream	panD; aspartate 1-decarboxylase [EC:4.1.1.11]	ko01110	NA
K01579_upstream.fna.motif.h1_3	High power (low covariation)	K01579	upstream	panD; aspartate 1-decarboxylase [EC:4.1.1.11]	map01240	Biosynthesis of cofactors
K01579_upstream.fna.motif.h1_3	High power (low covariation)	K01579	upstream	panD; aspartate 1-decarboxylase [EC:4.1.1.11]	ko01240	NA
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	map00010	Glycolysis / Gluconeogenesis
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	ko00010	NA
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	map00030	Pentose phosphate pathway
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	ko00030	NA
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	map00051	Fructose and mannose metabolism
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	ko00051	NA
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	map00680	Methane metabolism
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	ko00680	NA
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	map00710	Carbon fixation in photosynthetic organisms
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	ko00710	NA
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	map01100	Metabolic pathways
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	ko01100	NA
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	map01110	Biosynthesis of secondary metabolites
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	ko01110	NA
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	map01120	Microbial metabolism in diverse environments
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	ko01120	NA
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	map01200	Carbon metabolism
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	ko01200	NA
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	map01230	Biosynthesis of amino acids
K01624_upstream.fna.motif.h1_2	Conserved sequence (low covariation and power)	K01624	upstream	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	ko01230	NA
K01626_upstream.fna.motif.h2_1.h2_3	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01626_upstream.fna.motif.h2_1.h2_3	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	ko00400	NA
K01626_upstream.fna.motif.h2_1.h2_3	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	map01100	Metabolic pathways
K01626_upstream.fna.motif.h2_1.h2_3	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	ko01100	NA
K01626_upstream.fna.motif.h2_1.h2_3	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	map01110	Biosynthesis of secondary metabolites
K01626_upstream.fna.motif.h2_1.h2_3	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	ko01110	NA
K01626_upstream.fna.motif.h2_1.h2_3	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	map01230	Biosynthesis of amino acids
K01626_upstream.fna.motif.h2_1.h2_3	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	ko01230	NA
K01626_upstream.fna.motif.h2_1.h2_3	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	map02024	Quorum sensing
K01626_upstream.fna.motif.h2_1.h2_3	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	ko02024	NA
K01626_upstream.fna.motif.h1_5.h2_4	High power (low covariation)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01626_upstream.fna.motif.h1_5.h2_4	High power (low covariation)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	ko00400	NA
K01626_upstream.fna.motif.h1_5.h2_4	High power (low covariation)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	map01100	Metabolic pathways
K01626_upstream.fna.motif.h1_5.h2_4	High power (low covariation)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	ko01100	NA
K01626_upstream.fna.motif.h1_5.h2_4	High power (low covariation)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	map01110	Biosynthesis of secondary metabolites
K01626_upstream.fna.motif.h1_5.h2_4	High power (low covariation)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	ko01110	NA
K01626_upstream.fna.motif.h1_5.h2_4	High power (low covariation)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	map01230	Biosynthesis of amino acids
K01626_upstream.fna.motif.h1_5.h2_4	High power (low covariation)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	ko01230	NA
K01626_upstream.fna.motif.h1_5.h2_4	High power (low covariation)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	map02024	Quorum sensing
K01626_upstream.fna.motif.h1_5.h2_4	High power (low covariation)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	ko02024	NA
K01626_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K01626_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	ko00400	NA
K01626_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	map01100	Metabolic pathways
K01626_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	ko01100	NA
K01626_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	map01110	Biosynthesis of secondary metabolites
K01626_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	ko01110	NA
K01626_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	map01230	Biosynthesis of amino acids
K01626_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	ko01230	NA
K01626_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	map02024	Quorum sensing
K01626_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01626	upstream	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	ko02024	NA
K01649_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	map00290	Valine, leucine and isoleucine biosynthesis
K01649_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	ko00290	NA
K01649_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	map00620	Pyruvate metabolism
K01649_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	ko00620	NA
K01649_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	map01100	Metabolic pathways
K01649_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	ko01100	NA
K01649_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	map01110	Biosynthesis of secondary metabolites
K01649_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	ko01110	NA
K01649_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	map01210	2-Oxocarboxylic acid metabolism
K01649_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	ko01210	NA
K01649_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	map01230	Biosynthesis of amino acids
K01649_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	ko01230	NA
K01649_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	map00290	Valine, leucine and isoleucine biosynthesis
K01649_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	ko00290	NA
K01649_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	map00620	Pyruvate metabolism
K01649_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	ko00620	NA
K01649_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	map01100	Metabolic pathways
K01649_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	ko01100	NA
K01649_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	map01110	Biosynthesis of secondary metabolites
K01649_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	ko01110	NA
K01649_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	map01210	2-Oxocarboxylic acid metabolism
K01649_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	ko01210	NA
K01649_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	map01230	Biosynthesis of amino acids
K01649_upstream.fna.motif.h2_2	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	ko01230	NA
K01649_upstream.fna.motif.h1_1	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	map00290	Valine, leucine and isoleucine biosynthesis
K01649_upstream.fna.motif.h1_1	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	ko00290	NA
K01649_upstream.fna.motif.h1_1	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	map00620	Pyruvate metabolism
K01649_upstream.fna.motif.h1_1	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	ko00620	NA
K01649_upstream.fna.motif.h1_1	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	map01100	Metabolic pathways
K01649_upstream.fna.motif.h1_1	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	ko01100	NA
K01649_upstream.fna.motif.h1_1	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	map01110	Biosynthesis of secondary metabolites
K01649_upstream.fna.motif.h1_1	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	ko01110	NA
K01649_upstream.fna.motif.h1_1	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	map01210	2-Oxocarboxylic acid metabolism
K01649_upstream.fna.motif.h1_1	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	ko01210	NA
K01649_upstream.fna.motif.h1_1	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	map01230	Biosynthesis of amino acids
K01649_upstream.fna.motif.h1_1	Conserved sequence (low covariation and power)	K01649	upstream	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	ko01230	NA
K01652_upstream.fna.motif.h1_1	High covariation	K01652	upstream	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	map00290	Valine, leucine and isoleucine biosynthesis
K01652_upstream.fna.motif.h1_1	High covariation	K01652	upstream	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	ko00290	NA
K01652_upstream.fna.motif.h1_1	High covariation	K01652	upstream	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	map00650	Butanoate metabolism
K01652_upstream.fna.motif.h1_1	High covariation	K01652	upstream	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	ko00650	NA
K01652_upstream.fna.motif.h1_1	High covariation	K01652	upstream	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	map00660	C5-Branched dibasic acid metabolism
K01652_upstream.fna.motif.h1_1	High covariation	K01652	upstream	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	ko00660	NA
K01652_upstream.fna.motif.h1_1	High covariation	K01652	upstream	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	map00770	Pantothenate and CoA biosynthesis
K01652_upstream.fna.motif.h1_1	High covariation	K01652	upstream	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	ko00770	NA
K01652_upstream.fna.motif.h1_1	High covariation	K01652	upstream	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	map01100	Metabolic pathways
K01652_upstream.fna.motif.h1_1	High covariation	K01652	upstream	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	ko01100	NA
K01652_upstream.fna.motif.h1_1	High covariation	K01652	upstream	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	map01110	Biosynthesis of secondary metabolites
K01652_upstream.fna.motif.h1_1	High covariation	K01652	upstream	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	ko01110	NA
K01652_upstream.fna.motif.h1_1	High covariation	K01652	upstream	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	map01210	2-Oxocarboxylic acid metabolism
K01652_upstream.fna.motif.h1_1	High covariation	K01652	upstream	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	ko01210	NA
K01652_upstream.fna.motif.h1_1	High covariation	K01652	upstream	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	map01230	Biosynthesis of amino acids
K01652_upstream.fna.motif.h1_1	High covariation	K01652	upstream	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	ko01230	NA
